params (2, 2, 0.001, 10) score 236724.5285136291
params (2, 2, 0.001, 100) score 236724.57177065502
params (2, 2, 0.001, 1000) score 236403.42143040147
params (2, 2, 0.005, 10) score 236724.27762272293
params (2, 2, 0.005, 100) score 236724.76210147515
params (2, 2, 0.005, 1000) score 236719.7961472593
params (2, 2, 0.01, 10) score 236724.74479867963
params (2, 2, 0.01, 100) score 236698.16621173895
params (2, 2, 0.01, 1000) score 109106.84730116621
params (2, 2, 0.05, 10) score 236723.3000107932
params (2, 2, 0.05, 100) score 236677.47749205036
params (2, 2, 0.05, 1000) score 231274.8368846036
params (2, 2, 0.1, 10) score 236722.4002581927
params (2, 2, 0.1, 100) score 114538.41584376834
params (2, 2, 0.1, 1000) score 68902.66200953342
params (2, 4, 0.001, 10) score 236724.4593023712
params (2, 4, 0.001, 100) score 236724.90917518587
params (2, 4, 0.001, 1000) score 236723.52494840897
params (2, 4, 0.005, 10) score 236724.3295312081
params (2, 4, 0.005, 100) score 236699.2737124472
params (2, 4, 0.005, 1000) score 110654.00113868454
params (2, 4, 0.01, 10) score 236724.50255940977
params (2, 4, 0.01, 100) score 236247.38112410897
params (2, 4, 0.01, 1000) score 106396.19842832732
params (2, 4, 0.05, 10) score 236720.14221016344
params (2, 4, 0.05, 100) score 160906.52630642426
params (2, 4, 0.05, 1000) score 231267.84111933937
params (2, 4, 0.1, 10) score 236696.6174325269
params (2, 4, 0.1, 100) score 236715.9029047267
params (2, 4, 0.1, 1000) score 63931.44928749856
params (2, 8, 0.001, 10) score 236724.26897130764
params (2, 8, 0.001, 100) score 236723.79314297918
params (2, 8, 0.001, 1000) score 230811.38384403833
params (2, 8, 0.005, 10) score 236724.37278827035
params (2, 8, 0.005, 100) score 236642.42108294953
params (2, 8, 0.005, 1000) score 107806.85069141015
params (2, 8, 0.01, 10) score 236724.07864009103
params (2, 8, 0.01, 100) score 235643.44590928048
params (2, 8, 0.01, 1000) score 92355.67283063884
params (2, 8, 0.05, 10) score 236712.2605020703
params (2, 8, 0.05, 100) score 110613.46550940351
params (2, 8, 0.05, 1000) score 64305.97259975157
params (2, 8, 0.1, 10) score 236657.20234972777
params (2, 8, 0.1, 100) score 104475.44737401223
params (2, 8, 0.1, 1000) score 62239.56606532536
params (2, 10, 0.001, 10) score 236724.74479867963
params (2, 10, 0.001, 100) score 236723.3000107932
params (2, 10, 0.001, 1000) score 215166.62938290407
params (2, 10, 0.005, 10) score 236724.75345007755
params (2, 10, 0.005, 100) score 236609.44549193297
params (2, 10, 0.005, 1000) score 107083.3897110098
params (2, 10, 0.01, 10) score 236724.08729151328
params (2, 10, 0.01, 100) score 231583.5290861593
params (2, 10, 0.01, 1000) score 80995.17338706054
params (2, 10, 0.05, 10) score 236706.55886138853
params (2, 10, 0.05, 100) score 108338.40907083692
params (2, 10, 0.05, 1000) score 63177.10977877984
params (2, 10, 0.1, 10) score 236402.75436635673
params (2, 10, 0.1, 100) score 103196.1103142943
params (2, 10, 0.1, 1000) score 62634.071750126546
params (2, 16, 0.001, 10) score 236724.54581644043
params (2, 16, 0.001, 100) score 236723.51629696615
params (2, 16, 0.001, 1000) score 193939.83264920078
params (2, 16, 0.005, 10) score 236724.035382975
params (2, 16, 0.005, 100) score 236141.82260667
params (2, 16, 0.005, 1000) score 100435.2868667183
params (2, 16, 0.01, 10) score 236724.1911085557
params (2, 16, 0.01, 100) score 223837.04243936035
params (2, 16, 0.01, 1000) score 75290.9679576508
